Index,Chance
192,2.26389e-74
193,1.59536e-74
194,3.46897e-74
195,5.9131e-74
196,1.23884e-73
197,1.25876e-73
198,2.14654e-73
199,2.11669e-73
200,3.23099e-73
201,7.04803e-44
202,1.10281e-100
203,4.50257e-100
204,5.40701e-100
205,1.83516e-99
206,2.8368e-99
207,9.52387e-99
208,1.3868e-98
209,4.6246e-98
210,6.47552e-98
211,2.14939e-97
212,2.92622e-97
213,9.67929e-97
214,1.28969e-96
215,4.25443e-96
216,5.57161e-96
217,1.83388e-95
218,2.3674e-95
219,7.77761e-95
220,9.91758e-95
221,3.25294e-94
222,4.10355e-94
223,1.34402e-93
224,1.67927e-93
225,5.49298e-93
226,6.80364e-93
227,2.2229e-92
228,2.7314e-92
229,8.91447e-92
230,1.08728e-91
231,3.54499e-91
232,4.29387e-91
233,1.39866e-90
234,1.68307e-90
235,5.47744e-90
236,6.55036e-90
237,2.12996e-89
238,2.53208e-89
239,8.22678e-89
240,9.72424e-89
241,3.15695e-88
242,3.71109e-88
243,1.20389e-87
244,1.40767e-87
245,4.56316e-87
246,5.30801e-87
247,1.71942e-86
248,1.99001e-86
249,6.4417e-86
250,7.41874e-86
251,2.39978e-85
252,2.75044e-85
253,8.89084e-85
254,1.01417e-84
255,3.27604e-84
256,3.71954e-84
257,1.20067e-83
258,1.35694e-83
259,4.37702e-83
260,4.92423e-83
261,1.58718e-82
262,1.77756e-82
263,5.72481e-82
264,6.38269e-82
265,2.0538e-81
266,2.27953e-81
267,7.32773e-81
268,8.09638e-81
269,2.59965e-80
270,2.85917e-80
271,9.16785e-80
272,1.00356e-79
273,3.21243e-79
274,3.49922e-79
275,1.1177e-78
276,1.21111e-78
277,3.85758e-78
278,4.15597e-78
279,1.31874e-77
280,1.41147e-77
281,4.45548e-77
282,4.73172e-77
283,1.48261e-76
284,1.55914e-76
285,4.8326e-76
286,5.01535e-76
287,1.52887e-75
288,1.55637e-75
289,4.61705e-75
290,4.55486e-75
291,1.28592e-74
292,1.19446e-74
293,3.01851e-74
294,2.12715e-74
295,4.16791e-74
296,2.44948e-74
297,4.55923e-74
298,6.86217e-74
299,1.52473e-73
300,1.68179e-73
301,2.88115e-73
302,4.94182e-33
303,0
304,6.30242e-100
305,2.18511e-99
306,3.75487e-99
307,1.27442e-98
308,1.97e-98
309,6.6138e-98
310,9.63053e-98
311,3.21153e-97
312,4.49689e-97
313,1.49263e-96
314,2.03209e-96
315,6.72173e-96
316,8.95618e-96
317,2.95446e-95
318,3.86918e-95
319,1.27353e-94
320,1.64403e-94
321,5.40112e-94
322,6.88721e-94
323,2.25899e-93
324,2.84969e-93
325,9.33351e-93
326,1.16616e-92
327,3.81457e-92
328,4.72475e-92
329,1.54368e-91
330,1.89681e-91
331,6.1906e-91
332,7.55057e-91
333,2.4618e-90
334,2.98186e-90
335,9.71292e-90
336,1.1688e-89
337,3.80378e-89
338,4.54886e-89
339,1.47914e-88
340,1.75839e-88
341,5.71304e-88
342,6.75294e-88
343,2.19233e-87
344,2.57715e-87
345,8.36031e-87
346,9.77551e-87
347,3.16886e-86
348,3.68612e-86
349,1.19404e-85
350,1.38195e-85
351,4.4734e-85
352,5.1519e-85
353,1.66652e-84
354,1.91003e-84
355,6.17419e-84
356,7.04285e-84
357,2.27503e-83
358,2.58302e-83
359,8.33795e-83
360,9.42319e-83
361,3.03959e-82
362,3.4196e-82
363,1.10221e-81
364,1.23441e-81
365,3.97556e-81
366,4.43242e-81
367,1.42625e-80
368,1.58301e-80
369,5.0887e-80
370,5.62249e-80
371,1.80531e-79
372,1.98554e-79
373,6.36656e-79
374,6.96916e-79
375,2.23086e-78
376,2.43001e-78
377,7.76183e-78
378,8.41049e-78
379,2.67888e-77
380,2.88609e-77
381,9.15795e-77
382,9.8019e-77
383,3.09409e-76
384,3.28592e-76
385,1.02959e-75
386,1.08274e-75
387,3.35597e-75
388,3.48288e-75
389,1.06172e-74
390,1.08081e-74
391,3.20628e-74
392,3.1631e-74
393,8.93e-74
394,8.29485e-74
395,2.09619e-73
396,1.47719e-73
397,2.89438e-73
398,1.70103e-73
399,2.85934e-73
400,1.68014e-73
401,2.82464e-73
402,1.65945e-73
403,3.00086e-71
