Index,Action number, actual_action dim1, actual_action dim2, cores in use dim1, cores in use dim2, number of jobs allocated, jobs in the system 
19649,4,0,0;2,8,2,2,53
19650,4,0,0;2,8,2,2,54
19651,4,0,0;2,8,2,2,55
19652,4,0,0;2,8,2,2,56
19653,4,0,0;2,8,2,2,57
19654,4,0,0;2,8,2,2,58
19655,4,0,0;2,8,2,2,59
19656,4,0,0;2,8,2,2,60
19657,4,0,0;2,8,2,2,61
19658,4,0,0;2,8,2,2,62
19659,4,0,0;2,8,2,2,63
19660,4,0,0;2,8,2,2,64
19661,4,0,0;2,8,2,2,65
19662,4,0,0;2,8,2,2,66
19663,4,0,0;2,8,2,2,67
19664,4,0,0;2,8,2,2,68
19665,4,0,0;2,8,2,2,69
19666,4,0,0;2,8,2,2,70
19667,4,0,0;2,8,2,2,71
19668,4,0,0;2,8,2,2,72
19669,4,0,0;2,8,2,2,73
19670,4,0,0;2,8,2,2,74
19671,4,0,0;2,8,2,2,75
19672,4,0,0;2,8,2,2,76
19673,4,0,0;2,8,2,2,77
19674,4,0,0;2,8,2,2,78
19675,4,0,0;2,8,2,2,79
19676,4,0,0;2,8,2,2,80
19677,4,0,0;2,8,2,2,81
19678,4,0,0;2,8,2,2,82
19679,4,0,0;2,8,2,2,83
19680,4,0,0;2,8,2,2,84
19681,4,0,0;2,8,2,2,85
19682,4,0,0;2,8,2,2,86
19683,4,0,0;2,8,2,2,87
19684,4,0,0;2,8,2,2,88
19685,4,0,0;2,8,2,2,89
19686,4,0,0;2,8,2,2,90
19687,4,0,0;2,8,2,2,91
19688,4,0,0;2,8,2,2,92
19689,4,0,0;2,8,2,2,93
19690,4,0,0;2,8,2,2,94
19691,4,0,0;2,8,2,2,95
19692,4,0,0;2,8,2,2,96
19693,1,0,0,8,2,0,99
19694,1,0,0,8,2,0,100
19695,1,0,0,8,2,0,0
19696,1,0,0,8,2,0,1
19697,1,0,0,8,2,0,2
19698,4,0,0;2,8,2,2,1
19699,4,0,0;2,8,2,2,2
19700,4,0,0;2,8,2,2,3
19701,4,0,0;2,8,2,2,4
19702,4,0,0;2,8,2,2,5
19703,4,0,0;2,8,2,2,6
19704,4,0,0;2,8,2,2,7
19705,4,0,0;2,8,2,2,8
19706,4,0,0;2,8,2,2,9
19707,4,0,0;2,8,2,2,10
19708,4,0,0;2,8,2,2,11
19709,4,0,0;2,8,2,2,12
19710,4,0,0;2,8,2,2,13
19711,4,0,0;2,8,2,2,14
19712,4,0,0;2,8,2,2,15
19713,4,0,0;2,8,2,2,16
19714,4,0,0;2,8,2,2,17
19715,4,0,0;2,8,2,2,18
19716,4,0,0;2,8,2,2,19
19717,4,0,0;2,8,2,2,20
19718,4,0,0;2,8,2,2,21
19719,4,0,0;2,8,2,2,22
19720,4,0,0;2,8,2,2,23
19721,4,0,0;2,8,2,2,24
19722,4,0,0;2,8,2,2,25
19723,4,0,0;2,8,2,2,26
19724,4,0,0;2,8,2,2,27
19725,4,0,0;2,8,2,2,28
19726,4,0,0;2,8,2,2,29
19727,4,0,0;2,8,2,2,30
19728,4,0,0;2,8,2,2,31
